timestamp,frame,time,person_id,category,centroid_x,centroid_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
2025-09-16 04:03:40,1,0.00,100000,STAFF,196,432,73,309,319,556
2025-09-16 04:03:40,1,0.00,100001,STAFF,995,536,858,431,1132,642
2025-09-16 04:03:40,2,3.01,100000,STAFF,196,432,73,309,319,556
2025-09-16 04:03:40,2,3.01,100001,STAFF,995,536,858,431,1132,642
2025-09-16 04:03:40,2,3.01,100002,STAFF,1006,492,861,346,1152,639
2025-09-16 04:03:40,3,3.05,100000,STAFF,196,432,74,309,318,555
2025-09-16 04:03:40,3,3.05,100001,STAFF,995,536,858,431,1132,642
2025-09-16 04:03:40,3,3.05,100002,STAFF,1006,494,860,350,1152,639
2025-09-16 04:03:40,4,3.09,100000,STAFF,196,431,74,308,318,555
2025-09-16 04:03:40,4,3.09,100001,STAFF,995,536,858,431,1132,642
2025-09-16 04:03:40,4,3.09,100002,STAFF,1005,497,860,356,1151,639
2025-09-16 04:03:40,5,3.13,100000,STAFF,196,431,74,308,318,555
2025-09-16 04:03:40,5,3.13,100001,STAFF,995,536,858,431,1132,642
2025-09-16 04:03:41,6,3.18,100000,STAFF,196,431,74,308,318,555
2025-09-16 04:03:41,6,3.18,100001,STAFF,995,536,858,431,1132,642
2025-09-16 04:03:41,7,3.21,100000,STAFF,196,431,74,308,318,555
2025-09-16 04:03:41,7,3.21,100001,STAFF,995,536,858,431,1132,642
2025-09-16 04:03:41,7,3.21,100002,STAFF,1005,501,860,364,1151,639
2025-09-16 04:03:41,8,3.26,100000,STAFF,196,431,74,308,318,555
2025-09-16 04:03:41,8,3.26,100001,STAFF,995,536,858,431,1132,642
2025-09-16 04:03:41,9,3.30,100000,STAFF,195,431,74,308,317,555
2025-09-16 04:03:41,9,3.30,100001,STAFF,995,536,858,431,1132,642
2025-09-16 04:03:41,10,3.34,100000,STAFF,196,431,74,308,318,555
2025-09-16 04:03:41,10,3.34,100001,STAFF,995,536,858,431,1132,642
2025-09-16 04:03:41,11,3.37,100000,STAFF,196,432,74,308,318,556
2025-09-16 04:03:41,11,3.37,100001,STAFF,995,536,859,431,1132,642
2025-09-16 04:03:41,12,3.41,100000,STAFF,196,432,74,308,318,556
2025-09-16 04:03:41,12,3.41,100001,STAFF,995,536,859,431,1132,642
2025-09-16 04:03:41,12,3.41,100002,STAFF,1147,254,1056,153,1239,355
2025-09-16 04:03:41,13,3.45,100000,STAFF,196,432,74,308,318,556
2025-09-16 04:03:41,13,3.45,100001,STAFF,995,536,858,431,1132,642
2025-09-16 04:03:41,14,3.49,100000,STAFF,196,431,74,307,318,555
2025-09-16 04:03:41,14,3.49,100001,STAFF,995,536,858,431,1132,642
2025-09-16 04:03:41,14,3.49,100002,STAFF,1006,498,861,358,1151,639
2025-09-16 04:03:41,15,3.52,100000,STAFF,195,431,74,307,317,556
2025-09-16 04:03:41,15,3.52,100001,STAFF,995,536,858,431,1132,642
2025-09-16 04:03:41,15,3.52,100002,STAFF,1006,493,860,347,1153,639
2025-09-16 04:03:41,15,3.52,100003,STAFF,1158,237,1078,154,1239,321
2025-09-16 04:03:41,16,3.56,100000,STAFF,195,432,74,308,317,556
2025-09-16 04:03:41,16,3.56,100001,STAFF,995,536,858,431,1133,642
2025-09-16 04:03:41,16,3.56,100002,STAFF,1008,496,861,353,1155,639
2025-09-16 04:03:41,16,3.56,100003,STAFF,1159,237,1079,154,1240,320
2025-09-16 04:03:41,17,3.60,100000,STAFF,195,431,74,307,316,555
2025-09-16 04:03:41,17,3.60,100001,STAFF,995,536,858,431,1133,642
2025-09-16 04:03:41,17,3.60,100002,STAFF,1006,498,860,357,1153,639
2025-09-16 04:03:41,17,3.60,100003,STAFF,1159,235,1079,154,1239,317
2025-09-16 04:03:41,18,3.64,100000,STAFF,194,430,74,308,315,553
2025-09-16 04:03:41,18,3.64,100001,STAFF,1005,500,859,360,1152,640
2025-09-16 04:03:41,18,3.64,100002,STAFF,995,536,858,430,1133,642
2025-09-16 04:03:41,18,3.64,100003,STAFF,1160,234,1080,154,1240,315
2025-09-16 04:03:41,19,3.68,100000,STAFF,194,430,74,308,315,552
2025-09-16 04:03:41,19,3.68,100001,STAFF,1006,499,859,358,1153,640
2025-09-16 04:03:41,19,3.68,100002,STAFF,995,536,858,430,1133,642
2025-09-16 04:03:41,19,3.68,100003,STAFF,1160,234,1080,154,1240,314
2025-09-16 04:03:41,20,3.72,100000,STAFF,195,427,75,306,316,549
